feature,coefficient
Age,-0.624722960153218
InterestRate,0.4903003499749272
MonthsEmployed,-0.3586971162458969
Income,-0.3264710833856033
LoanAmount,0.30158129346574597
HasMortgage_Yes,-0.19016681521201867
NumCreditLines,0.10575851483289082
HasSocialAid_Yes,-0.0915263651104812
DTIRatio,0.06986904884339937
CommunityGroupMember_Yes,-0.057435840584314835
HouseholdSize,-0.008822810054911548
MobileMoneyTransactions,0.005598264622995758
InformalIncome,0.003499147779830664
TrustScorePsychometric,-0.0015842427307632618
LoanTerm,0.0013872750352339873
